Year,Mon,Month,CrudePalmOil,SoyabeanOil,GroundnutOil,SunflowerOil,RapeseedOil,CoconutOil,FishOil,Tallow,Lard
2017,2,Feb,774,835,1545,808,878,1703,1530,890,821
2017,3,Mar,736,813,1578,784,851,1547,1350,861,756
2017,4,Apr,685,790,1558,783,824,1571,1325,833,745
2017,5,May,727,827,1550,797,844,1687,1281,882,720
2017,6,Jun,677,827,1518,780,813,1697,1200,953,702
2017,7,Jul,663,834,1498,793,843,1585,1275,915,671
2017,8,Aug,674,855,1478,806,875,1604,1410,910,660
2017,9,Sep,724,883,1433,811,889,1531,1538,907,650
2017,10,Oct,721,867,1410,788,889,1485,1600,824,644
2017,11,Nov,716,881,1368,795,930,1549,1660,771,640
2017,12,Dec,672,866,1356,787,879,1456,1938,745,638
2018,1,Jan,677,864,1335,784,848,1399,2038,751,767
2018,2,Feb,663,842,1325,794,829,1252,2163,769,745
2018,3,Mar,681,834,1325,790,798,1123,2100,761,694
2018,4,Apr,664,827,1330,802,794,1135,1825,724,654
2018,5,May,660,793,1316,782,812,1029,1530,710,617
2018,6,Jun,634,786,1308,759,816,935,1263,717,594
2018,7,Jul,590,775,1289,774,836,917,1325,735,598
2018,8,Aug,561,766,1281,740,853,916,1355,780,607
2018,9,Sep,551,757,1265,714,843,904,1400,730,679
2018,10,Oct,0,0,0,0,0,0,0,0,0
2018,11,Nov,0,0,0,0,0,0,0,0,0
2018,12,Dec,0,0,0,0,0,0,0,0,0
